prestamo_id,fecha_pago,monto_pagado
P013895,2022-12-21,27415
P047441,2023-02-22,65196
P027668,2022-12-03,68206
P009717,2022-02-22,79122
P036967,2023-01-21,118717
P036255,2023-01-19,92504
P044403,2022-09-19,70196
P008879,2022-12-24,29356
P036303,2022-04-14,50935
P019507,2022-11-19,89260
P011863,2022-09-13,54338
P022702,2022-06-20,22668
P015975,2022-12-30,36243
P021999,2022-11-28,116511
P000484,2022-05-31,74493
P000844,2022-06-02,12147
P033385,2022-04-30,61061
P015339,2022-05-05,18430
P035545,2022-11-28,51680
P042168,2022-04-09,39135
P029427,2022-06-29,104064
P012962,2022-03-09,10914
P008497,2022-02-19,67652
P010813,2022-09-08,52699
P017212,2022-10-18,58245
P029913,2022-08-16,99878
P001389,2022-07-18,60489
P023023,2022-08-30,117230
P014247,2022-09-23,104767
P002141,2022-05-17,10234
P048796,2022-08-13,38263
P017783,2023-01-03,93165
P045331,2022-09-01,79911
P004765,2022-10-15,25935
P031326,2022-07-28,70858
P006932,2023-02-07,21785
P006800,2023-03-07,67291
P046237,2022-06-08,94169
P022178,2022-04-17,105207
P016517,2022-07-24,95013
P022879,2022-03-15,114983
P021750,2022-06-13,115350
P028046,2022-11-28,74255
P027351,2022-10-03,94120
P041466,2022-11-25,92304
P046261,2022-02-03,27927
P025052,2022-04-12,61396
P028507,2023-01-17,44928
P029542,2023-02-13,22781
P046790,2022-03-12,21154
P033217,2022-10-28,32813
P045159,2022-07-11,36960
P017881,2022-02-20,30423
P014915,2022-12-31,27347
P046007,2022-09-02,114994
P010318,2022-05-09,16975
P046960,2022-06-20,39763
P036814,2022-04-04,89044
P045417,2022-04-20,118173
P036419,2022-03-08,22949
P011471,2023-02-05,24327
P046001,2023-02-17,109786
P027577,2022-07-20,80238
P001976,2022-12-05,34976
P034204,2023-02-02,25348
P049230,2023-02-28,58772
P004436,2022-07-15,36400
P042651,2022-03-21,112291
P026153,2022-07-12,80486
P002472,2022-03-31,105403
P031983,2022-05-25,110135
P036055,2022-12-05,107881
P043686,2022-05-25,16494
P011036,2022-09-06,118915
P038560,2022-10-24,19136
P019185,2022-04-16,85704
P004359,2022-09-13,37693
P016274,2022-06-18,87656
P030477,2023-02-11,99120
P018060,2022-08-14,16695
P008992,2022-04-25,46610
P000833,2022-02-03,51089
P007729,2022-10-17,77085
P038972,2022-10-19,80740
P027605,2022-06-05,32673
P045373,2022-10-26,22579
P043881,2022-04-05,74871
P013379,2023-01-03,118187
P044374,2022-05-22,98734
P013856,2022-09-26,45734
P022202,2022-12-21,70261
P049283,2023-01-18,92063
P016481,2022-12-09,26383
P002106,2022-12-14,85436
P001315,2022-04-02,12649
P006631,2022-12-08,30681
P015294,2022-09-04,92145
P021005,2022-09-13,116714
P007667,2023-01-05,39336
P014402,2023-01-04,57535
P017442,2022-06-02,93649
P036108,2022-08-27,83066
P036188,2023-01-17,34551
P028683,2023-01-20,41447
P029544,2022-12-10,110114
P007176,2022-06-06,27217
P002745,2022-12-27,19022
P035197,2022-10-26,105090
P021708,2022-06-08,97597
P012748,2022-02-04,117572
P040415,2022-06-23,69222
P026919,2022-08-01,46613
P037762,2022-03-01,112346
P028043,2022-06-09,38481
P037955,2022-04-08,115714
P049449,2023-01-24,75301
P021021,2022-08-27,19711
P038027,2022-02-20,46471
P021592,2023-01-27,89859
P041078,2022-03-18,116135
P021056,2022-07-15,36156
P047468,2022-11-13,48911
P026458,2022-07-17,44902
P010165,2022-06-24,32409
P036750,2022-06-14,106750
P004675,2022-12-29,74695
P044747,2022-12-08,76332
P049456,2023-02-05,66122
P017595,2022-12-28,19084
P028919,2023-02-18,54170
P014550,2022-04-07,53171
P041873,2022-12-21,104689
P008080,2023-02-06,53543
P031220,2022-11-14,78981
P046329,2023-02-18,17308
P038734,2022-03-11,116325
P017068,2023-02-19,86127
P043919,2022-10-02,20046
P004245,2022-12-06,37173
P009664,2023-01-13,63203
P016743,2022-05-21,108151
P016436,2022-10-22,98278
P019812,2022-08-08,56519
P020527,2022-07-05,66380
P022109,2022-04-13,8789
P017460,2022-12-22,97457
P009790,2023-02-01,69662
P007217,2022-11-08,103338
P021521,2022-05-22,23999
P016293,2022-04-26,51874
P043324,2022-07-01,99730
P000463,2022-05-22,49511
P047569,2022-10-02,58756
P018677,2022-12-28,52531
P040053,2022-09-02,102836
P028599,2022-08-07,102204
P046854,2022-02-20,87917
P046798,2022-03-25,91437
P001914,2022-03-24,75850
P032093,2022-04-07,96028
P022737,2022-08-23,58821
P034548,2023-01-27,102429
P023025,2022-10-16,69010
P025761,2023-01-26,96098
P028957,2022-02-17,68103
P039297,2022-12-20,55645
P005403,2022-07-27,52018
P041393,2022-11-23,115683
P010773,2023-02-04,24523
P023361,2022-06-28,105337
P022188,2023-02-01,13432
P015839,2022-06-09,73024
P000715,2022-04-15,34622
P012686,2022-11-22,112708
P046671,2022-07-14,29515
P029658,2023-03-04,33739
P049416,2023-02-07,50502
P029940,2022-06-08,9133
P027919,2023-02-01,44508
P042383,2023-02-04,65001
P017077,2022-07-10,45767
P004834,2023-01-07,17764
P042362,2022-11-07,68395
P002636,2022-09-10,27037
P030251,2022-04-09,37716
P018465,2022-05-05,15842
P047086,2022-06-06,66981
P002917,2022-07-14,61154
P004277,2022-07-22,69183
P028059,2022-04-26,78447
P004044,2022-11-01,92720
P040039,2022-03-06,55192
P016009,2022-06-30,115569
P012581,2022-06-17,5010
P015813,2023-02-18,13750
P015952,2022-12-05,71118
P002428,2023-02-20,84758
P004384,2022-02-23,65788
P032133,2022-12-11,60178
P039847,2022-08-19,119014
P017550,2022-09-17,78789
P038679,2022-10-09,24113
P020282,2022-03-02,79110
P009029,2022-12-07,27994
P042206,2022-09-12,79349
P009234,2022-09-19,30269
P047094,2023-02-08,114235
P030710,2022-07-15,53427
P029786,2022-10-15,35575
P031859,2023-01-26,56894
P045300,2023-02-19,65845
P043619,2022-08-29,5999
P043478,2022-10-24,7996
P049541,2022-10-28,6704
P027911,2022-03-31,77162
P017559,2022-10-30,29293
P004183,2023-03-02,39167
P005453,2023-01-12,56427
P031731,2022-10-16,13789
P044980,2022-06-20,38532
P013081,2022-11-04,67141
P044516,2023-02-08,5573
P038944,2023-02-16,117007
P023506,2022-11-25,90951
P020192,2022-07-25,41185
P046425,2023-01-12,27461
P036521,2022-09-18,31265
P045567,2022-08-04,82197
P016019,2022-12-23,100192
P044704,2022-05-26,24667
P035876,2023-03-02,63756
P021657,2022-08-19,35661
P035002,2022-04-12,74310
P022513,2022-08-20,94097
P009340,2022-12-11,40544
P039539,2022-06-01,67258
P043484,2023-02-20,101129
P048432,2022-12-04,89671
P017109,2022-11-19,115286
P047272,2022-09-04,95597
P045846,2022-10-06,90424
P029614,2022-02-11,71695
P012517,2022-07-25,90400
P001240,2022-07-08,53491
P016245,2023-01-09,44897
P014383,2022-03-24,19600
P001282,2023-02-07,100129
P017247,2022-12-30,82337
P028891,2022-02-27,65224
P026538,2022-11-10,83408
P022345,2022-02-04,28971
P000427,2022-11-07,69546
P002207,2022-05-01,89565
P037301,2022-12-15,52091
P035433,2023-01-30,61322
P034910,2022-11-15,119505
P033091,2022-12-02,30719
P027907,2022-11-14,60260
P002039,2023-02-25,29617
P021538,2022-07-12,56550
P001030,2023-02-12,49726
P012507,2022-05-30,106936
P007408,2022-05-27,55480
P049235,2022-07-06,59872
P049542,2022-10-12,91953
P046227,2022-10-28,96051
P006047,2023-02-17,97166
P005959,2022-10-18,73327
P023279,2022-10-15,56560
P004000,2022-11-06,55072
P037762,2023-01-19,17926
P022131,2022-10-12,47794
P010892,2022-02-14,44138
P031828,2022-03-18,5225
P037638,2022-02-18,90141
P030869,2023-02-21,118035
P018995,2022-10-07,31202
P012598,2022-03-22,114414
P027249,2023-01-23,72710
P045197,2022-12-20,57893
P042690,2022-11-02,99587
P021633,2022-07-05,112014
P029409,2022-03-07,116938
P014326,2022-03-01,54492
P012978,2023-01-08,13176
P001131,2022-11-27,36345
P023794,2022-07-10,94966
P040859,2023-01-24,99002
P033114,2022-11-01,49161
P008899,2022-09-10,106366
P019752,2022-09-04,46983
P049274,2022-03-20,119584
P049976,2022-10-05,83859
P006571,2022-04-09,118517
P024076,2022-10-11,112089
P011831,2022-09-21,65522
P046197,2022-10-25,73184
P007507,2022-03-31,102611
P004090,2022-04-15,17776
P000719,2022-09-18,96465
P009148,2022-05-22,25076
P014403,2022-09-17,16384
P045803,2023-01-29,57443
P031184,2022-12-27,72157
P031987,2022-02-12,67898
P044186,2022-03-31,109298
P032579,2022-12-09,91734
P046977,2022-03-09,107361
P023979,2022-10-30,41427
P031234,2022-07-28,22451
P019931,2022-10-26,109281
P040999,2022-06-21,9072
P004006,2022-06-16,21597
P000796,2022-04-06,66955
P008771,2022-07-12,8097
P008898,2022-04-08,96623
P022375,2022-09-19,110342
P046436,2022-04-28,93445
P034114,2022-09-11,32691
P013404,2022-09-01,12518
P025825,2022-06-28,72247
P002957,2022-02-17,88454
P041949,2022-08-21,62002
P009937,2022-08-22,77877
P041739,2022-07-29,32248
P021123,2022-12-28,114541
P026764,2022-03-26,49304
P022840,2023-02-11,30289
P013813,2022-05-10,88611
P014231,2023-01-01,32565
P045590,2023-02-25,79436
P046911,2022-08-28,95706
P008211,2022-10-03,37796
P032082,2022-07-22,58802
P036623,2023-02-21,33124
P045361,2022-10-31,44928
P032525,2022-04-04,78815
P037485,2022-05-27,96645
P043232,2022-03-02,57404
P016420,2022-07-30,35689
P036783,2022-06-20,57514
P022440,2022-12-08,92984
P045568,2023-03-02,6612
P044492,2022-02-27,55593
P029492,2022-04-07,36001
P040288,2022-06-24,25032
P000392,2022-05-31,54426
P046727,2022-07-01,91253
P004531,2022-10-26,43837
P045779,2023-01-21,75329
P008899,2022-04-24,109297
P041469,2022-07-28,73464
P009469,2022-11-30,21151
P000362,2022-10-31,90510
P034698,2022-03-28,96681
P012505,2022-10-13,45944
P042157,2022-03-19,25313
P018852,2022-07-07,68461
P015470,2022-10-21,84982
P014231,2022-04-04,13163
P005998,2022-06-18,73129
P028812,2022-03-23,12945
P026929,2022-03-18,36201
P045885,2022-05-01,53734
P047265,2022-09-29,58120
P033033,2022-05-06,75556
P029062,2022-11-09,74966
P026084,2023-01-22,57364
P037192,2022-02-16,49959
P045496,2022-12-24,104233
P010500,2022-05-16,59881
P031439,2022-12-17,59855
P008994,2022-03-31,86183
P032363,2022-02-22,57247
P008098,2022-10-05,72750
P023586,2022-08-10,39833
P027100,2022-07-02,55078
P011487,2022-06-07,108343
P039190,2022-11-22,55506
P014257,2022-12-16,72718
P007929,2022-05-20,75663
P023697,2023-02-16,24786
P044178,2022-08-20,19609
P014249,2022-06-26,41972
P005017,2022-11-09,88732
P002331,2022-10-03,60724
P043965,2022-09-29,115585
P028173,2022-02-06,12487
P019925,2022-05-12,119304
P002021,2022-07-16,17890
P014066,2022-11-26,70765
P042034,2022-11-19,57680
P041650,2022-11-27,14531
P003505,2022-02-14,79182
P045174,2022-04-01,119389
P037055,2022-02-28,72277
P013568,2022-09-29,49225
P024570,2022-06-04,38573
P035946,2022-08-07,96550
P021419,2023-01-24,34860
P008047,2022-07-13,63585
P022692,2022-07-23,92058
P048795,2022-04-01,92132
P008011,2022-09-13,110590
P025438,2022-10-16,115196
P033292,2022-06-27,116931
P015345,2022-02-14,104924
P004265,2022-06-22,18154
P043207,2022-11-28,91692
P049604,2023-03-07,117982
P012327,2023-01-07,113778
P017086,2023-02-02,43120
P006308,2022-02-11,115827
P020965,2023-01-08,109939
P047717,2022-12-30,77285
P033408,2022-05-07,8373
P013188,2023-01-28,116453
P018377,2022-12-23,113776
P036907,2022-06-11,113269
P020460,2022-04-21,97698
P010126,2022-02-12,85580
P008432,2022-08-19,92372
P026168,2022-08-02,24642
P005607,2022-10-18,55227
P018830,2022-02-24,101070
P013343,2022-03-25,40346
P023267,2023-01-07,118179
P030452,2022-08-06,57950
P018468,2022-07-05,29820
P005873,2022-11-28,94041
P033072,2023-02-19,96528
P049818,2022-06-26,29601
P012909,2022-08-19,101530
P009186,2023-01-25,52824
P038512,2022-02-20,49250
P010510,2022-03-10,58194
P032706,2022-09-20,102145
P014377,2022-03-25,67490
P000027,2022-07-22,45873
P033401,2022-12-02,29572
P049482,2022-10-11,104403
P034974,2022-04-21,68058
P032995,2022-06-26,66100
P045720,2022-07-29,76566
P010950,2022-04-30,72314
P042386,2022-08-17,79318
P028558,2023-01-17,99893
P037315,2023-02-09,49507
P025939,2022-05-08,26003
P009320,2022-05-10,61749
P003058,2022-08-26,20090
P021282,2023-02-10,107074
P014083,2022-06-05,38131
P015815,2022-03-09,9030
P007960,2022-10-28,47853
P028106,2022-12-29,119482
P028278,2022-10-30,90917
P000763,2022-08-22,51841
P007308,2022-02-24,105635
P028537,2022-11-03,93411
P035999,2022-11-01,88492
P003003,2022-10-08,91826
P048864,2022-05-30,115608
P046788,2023-02-26,9309
P020490,2022-02-27,106384
P003914,2022-09-22,31172
P009220,2022-10-01,83236
P042298,2023-02-18,110911
P017104,2022-08-21,74357
P020955,2022-12-16,32143
P047119,2022-05-13,88674
P008059,2022-08-27,87445
P000444,2022-12-05,28633
P002694,2022-05-08,91373
P004348,2022-12-23,44660
P006705,2022-07-29,47788
P023337,2022-06-05,7306
P047374,2022-02-15,12262
P008488,2023-02-02,5550
P016527,2022-07-07,13176
P038331,2022-12-30,117810
P031676,2022-03-23,34501
P003418,2022-07-31,75746
P013563,2023-01-03,21683
P005125,2022-02-20,8058
P006009,2022-06-16,33051
P001140,2022-11-19,81254
P042551,2023-02-04,40383
P022462,2022-02-24,52190
P039933,2022-12-20,81059
P029757,2023-02-15,58790
P003335,2022-12-02,50455
P014221,2022-12-03,94133
P045339,2022-07-30,91429
P013778,2022-08-29,83500
P026353,2022-03-03,35352
P014590,2022-02-28,115797
P035685,2022-10-19,37771
P035771,2022-05-16,5280
P008701,2022-03-15,17017
P040750,2023-03-03,15370
P015580,2022-03-01,104565
P033086,2022-02-13,23415
P033444,2023-01-06,110698
P003183,2022-09-24,24971
P018781,2022-07-04,51683
P048018,2022-05-30,39101
P014248,2023-03-04,35054
P013800,2022-03-08,60043
P005992,2022-07-11,42279
P017279,2022-08-29,101829
P010538,2022-05-20,118825
P012509,2022-06-20,73451
P025159,2022-03-30,50049
P038614,2022-07-21,94960
P045938,2022-05-21,33800
P033276,2022-08-17,65565
P032773,2022-05-14,41988
P008814,2022-11-15,83687
P013879,2022-04-30,23802
P022343,2023-01-18,53722
P039998,2023-02-23,97957
P001313,2023-01-26,117785
P014514,2023-02-24,71232
P048395,2022-05-19,41918
P033618,2023-02-04,84136
P013673,2022-06-25,30994
P007660,2022-11-25,9075
P001851,2022-08-16,117657
P004135,2022-09-02,95818
P033146,2023-02-15,16715
P003551,2022-07-25,68464
P002653,2022-12-14,9026
P022463,2022-05-28,43754
P015327,2022-08-08,11529
P046194,2022-04-22,12646
P049946,2022-10-26,104550
P007988,2022-05-09,26816
P004830,2022-10-13,63371
P022075,2022-10-23,63123
P005671,2022-07-20,77615
P015050,2023-01-17,82272
P015648,2022-07-05,57769
P048146,2022-11-17,79908
P013396,2022-09-22,51725
P038638,2022-10-15,37071
P016081,2023-01-31,36649
P004978,2022-05-08,36816
P040160,2023-02-22,109686
P016791,2022-08-11,22655
P014792,2022-07-25,111821
P040195,2022-10-18,71241
P035621,2022-10-21,26729
P035043,2022-09-08,86094
P038754,2022-02-15,51714
P044791,2022-12-03,85993
P015357,2022-11-30,110285
P014205,2022-09-03,62155
P042629,2022-03-12,81519
P048508,2022-05-31,67299
P026368,2022-07-29,107613
P014248,2022-07-30,112850
P030180,2022-10-12,96812
P043857,2022-07-08,33736
P003985,2023-01-31,21015
P015958,2022-12-08,45519
P024549,2022-06-21,42623
P027995,2022-02-10,69791
P014297,2022-10-12,30999
P005882,2022-02-13,68649
P040789,2022-09-14,72206
P013797,2022-09-11,111635
P040218,2022-10-02,24863
P018395,2022-10-26,62208
P041859,2022-09-16,10767
P033001,2022-05-23,25337
P033869,2022-07-18,119399
P002367,2022-08-16,54462
P018266,2022-05-26,24522
P036594,2022-09-17,60908
P029929,2022-08-15,14197
P031856,2022-08-04,80047
P008542,2022-08-23,55983
P018661,2023-02-15,89662
P040620,2022-05-08,14265
P000492,2022-08-13,10892
P030590,2022-12-03,64727
P028998,2022-06-16,51847
P041480,2022-10-25,84745
P026806,2022-06-28,21464
P046595,2022-06-09,40431
P022429,2022-10-18,79789
P040927,2023-01-29,102059
P030364,2022-11-04,93269
P039883,2023-03-05,63207
P036756,2022-09-25,108172
P002570,2023-02-15,58531
P034009,2022-05-11,68982
P023946,2022-11-26,12850
P023407,2022-08-27,87968
P038147,2022-04-23,84223
P015891,2023-01-13,88001
P021327,2022-11-04,88504
P004983,2022-09-13,23801
P033593,2022-04-04,107200
P028753,2022-12-24,118988
P026277,2022-06-02,39590
P023151,2022-02-13,79189
P007769,2022-05-07,33976
P008800,2022-02-14,107488
P015499,2022-10-07,83454
P012952,2022-08-31,76928
P014900,2022-05-22,52404
P003160,2022-03-18,86151
P009830,2022-03-21,108174
P039092,2022-08-09,112827
P027985,2022-05-13,112115
P003327,2022-07-08,81194
P005009,2022-04-11,57748
P000174,2022-09-04,67634
P040879,2022-06-15,6548
P004703,2023-02-08,13320
P004631,2022-09-19,92481
P043127,2022-10-07,87278
P036705,2022-03-17,40256
P046313,2022-02-17,103867
P047821,2022-05-11,35685
P047103,2023-02-19,47275
P026474,2023-03-02,77290
P041905,2022-10-25,62977
P006033,2023-02-06,47113
P004422,2022-04-21,109513
P011704,2022-04-04,54715
P044069,2022-07-30,12458
P041126,2022-09-15,72908
P049984,2022-08-29,62211
P048637,2022-04-10,80304
P013625,2022-10-31,15027
P011081,2022-11-27,61093
P049853,2023-02-22,27993
P024285,2022-04-15,55632
P044849,2022-09-03,65409
P003407,2022-03-02,101416
P031578,2023-02-03,38192
P006592,2023-01-09,93686
P026174,2022-10-29,36558
P048156,2022-10-07,9025
P005324,2022-10-19,57448
P038081,2022-04-09,32144
P039061,2022-08-01,50284
P015287,2022-08-03,115105
P035210,2022-08-24,43553
P025145,2023-01-14,27637
P003463,2022-04-12,17159
P043320,2022-05-17,12566
P036594,2022-02-12,86242
P038697,2022-08-08,10493
P036169,2022-05-16,21332
P049537,2023-02-15,9571
P002262,2022-09-25,101111
P023199,2022-10-18,23030
P027558,2022-09-15,105527
P023783,2022-04-06,49814
P030134,2022-11-08,101360
P029719,2022-02-09,52566
P010370,2022-05-14,29417
P043662,2023-02-14,116093
P049823,2022-05-20,43432
P036090,2022-02-07,80445
P026063,2022-06-06,16747
P018501,2022-03-27,39220
P000393,2022-06-02,97001
P020999,2022-09-04,82627
P040016,2022-08-28,47319
P033970,2022-03-12,33922
P042801,2022-09-25,53948
P005277,2022-09-12,104571
P044914,2023-01-15,41061
P026295,2022-07-07,119144
P001059,2022-12-26,54012
P019391,2023-02-05,33243
P026819,2022-06-14,54115
P045225,2022-10-07,94569
P027389,2022-02-25,72223
P021337,2022-09-11,71349
P045785,2022-10-23,38533
P043674,2022-05-09,82144
P041274,2022-11-10,76312
P011752,2022-04-28,112102
P042350,2022-06-05,23728
P016701,2023-02-28,63619
P022510,2022-07-01,7614
P003824,2022-11-22,55462
P017706,2022-08-07,70736
P046592,2022-09-16,52094
P034296,2022-07-24,78820
P019112,2023-01-08,56312
P030455,2022-04-08,96295
P023561,2022-11-26,103424
P006413,2023-01-20,94477
P046366,2022-06-22,86507
P015676,2022-11-20,24002
P032678,2022-11-13,29946
P006001,2022-06-29,29797
P015643,2023-01-12,9583
P039250,2022-09-27,75284
P045267,2022-02-03,78142
P019724,2023-01-02,99177
P046569,2022-09-16,52309
P000472,2022-02-10,67581
P046242,2022-12-17,25542
P046203,2022-06-07,112101
P016201,2022-05-19,97423
P016766,2022-11-18,27303
P028145,2023-02-08,8760
P038771,2022-12-11,87613
P026988,2022-07-14,100970
P014689,2022-05-27,67030
P023160,2022-10-06,81431
P033831,2022-09-21,7535
P018772,2022-10-24,22029
P043351,2022-07-24,88238
P005644,2022-04-14,99226
P000568,2022-10-09,55547
P036017,2022-11-06,67962
P039521,2022-09-09,76850
P015321,2023-03-02,23284
P019262,2022-12-12,73841
P004382,2022-03-14,9872
P002225,2022-03-16,112499
P042271,2022-04-01,84524
P025639,2022-11-25,11094
P016700,2022-05-22,41477
P032714,2022-02-10,45140
P032243,2022-02-05,58548
P022933,2022-04-06,22809
P042948,2022-02-01,80329
P005121,2022-07-06,29619
P045480,2023-01-02,46041
P017077,2022-03-25,5876
P038914,2022-05-16,55750
P005113,2022-07-19,86888
P020345,2023-01-15,83530
P003052,2022-03-11,26666
P021202,2022-06-17,54666
P012387,2022-06-10,7287
P026671,2022-02-13,18158
P041123,2022-07-26,39417
P030138,2022-05-13,31783
P045756,2023-02-10,80065
P035066,2022-06-01,77443
P007310,2022-11-14,63164
P024268,2023-01-10,85042
P022568,2022-09-03,82988
P043610,2022-03-05,7288
P000166,2022-09-10,57332
P043512,2022-05-04,67560
P016141,2022-04-27,46257
P034529,2022-06-29,102378
P008669,2022-07-05,29772
P027363,2022-07-22,105163
P011625,2022-04-22,99461
P002349,2022-10-09,113344
P000647,2022-10-12,71240
P023406,2022-11-03,78678
P012565,2022-09-07,102244
P045114,2022-07-24,46263
P038131,2023-01-29,93295
P037555,2022-11-03,33980
P008194,2022-02-11,29134
P030986,2023-01-11,51799
P013447,2022-12-23,37537
P047520,2022-11-30,117298
P004788,2022-06-10,25377
P040049,2022-06-29,109593
P040840,2022-11-09,5869
P049875,2023-03-06,73179
P044293,2023-02-25,82770
P012787,2022-12-17,31679
P037237,2022-05-04,41802
P011897,2022-05-31,50796
P001857,2023-02-05,53965
P022882,2023-01-20,73211
P014478,2022-07-12,40521
P041913,2022-03-14,105221
P002546,2023-02-28,98376
P008137,2022-09-09,24785
P000712,2023-01-14,109591
P033315,2022-12-13,63237
P036009,2023-02-26,73319
P014356,2022-09-10,105935
P026869,2023-02-21,19001
P040773,2022-02-08,95053
P038795,2022-11-09,90110
P029104,2022-08-27,6589
P028547,2022-09-19,25869
P018490,2023-02-05,95210
P001810,2022-11-19,114887
P027742,2022-02-02,118352
P023022,2022-05-06,15055
P024911,2022-05-02,82189
P010739,2022-04-28,67843
P016104,2023-01-21,69178
P028531,2023-01-06,52369
P027915,2023-01-02,30273
P049905,2023-03-06,108573
P007535,2023-02-09,81846
P021962,2022-07-20,5034
P014419,2022-02-03,25769
P045332,2022-09-19,50896
P037308,2022-11-08,115914
P012452,2022-10-17,47195
P028818,2022-12-07,92031
P005491,2022-07-05,39121
P028570,2022-09-06,37672
P011271,2022-10-08,108985
P019850,2022-05-11,92776
P033126,2022-03-12,67067
P012974,2022-12-07,10932
P043242,2022-02-19,34598
P027515,2022-02-13,103722
P003106,2022-05-24,19381
P030665,2022-03-27,48084
P004144,2023-02-25,22782
P008335,2022-07-28,19038
P021720,2022-10-08,68388
P028080,2022-02-10,20453
P036221,2022-02-21,99447
P046169,2022-05-30,85110
P035182,2022-12-13,42460
P030738,2022-03-14,107699
P033152,2022-09-19,37184
P011461,2022-11-13,106304
P005534,2022-04-08,104979
P016351,2022-11-11,71365
P036329,2022-03-01,111456
P010570,2023-02-25,79014
P040067,2022-04-03,104077
P030904,2022-10-30,94628
P030761,2022-08-29,37929
P042509,2022-10-22,76387
P018876,2022-03-17,97992
P030879,2022-12-24,74598
P003910,2022-06-24,105485
P033797,2022-08-01,94514
P030179,2022-09-05,47180
P036365,2022-02-08,74798
P048627,2022-05-12,25428
P025519,2023-02-24,85430
P024609,2022-08-14,106905
P021910,2022-02-28,19945
P038376,2022-09-26,63094
P026410,2022-05-26,32602
P000822,2022-02-07,79938
P010521,2022-06-28,101928
P044204,2022-12-06,51659
P003318,2022-04-10,49595
P018698,2023-03-03,54035
P003982,2023-02-26,69392
P035011,2022-02-22,16040
P026282,2022-11-15,103668
P041241,2022-06-22,21598
P011771,2022-09-28,44059
P025584,2022-10-06,17040
P026484,2022-08-10,109581
P030404,2022-10-06,109324
P012343,2023-01-27,41266
P010030,2023-02-26,84417
P013731,2022-02-19,17112
P012742,2022-05-09,67713
P018493,2022-11-05,49907
P015012,2022-07-26,36724
P004373,2022-09-28,108871
P034671,2022-04-04,65484
P046196,2023-01-16,102745
P029184,2022-08-04,64596
P025029,2022-05-03,115798
P049723,2023-01-06,60478
P047986,2023-02-05,12958
P036458,2022-09-23,41304
P049430,2022-02-26,96104
P026981,2023-02-21,55271
P040261,2022-05-22,88530
P039196,2022-10-30,82810
P032763,2023-01-28,18421
P029292,2022-05-22,51178
P041333,2023-02-21,88574
P029346,2022-06-14,66190
P013384,2022-03-15,5620
P012524,2022-03-18,49980
P033142,2022-11-14,59150
P028446,2023-02-25,117635
P023641,2023-01-08,73412
P048171,2022-03-02,63377
P024824,2022-09-25,5970
P018668,2022-05-28,9099
P000516,2022-11-19,108540
P045525,2022-06-12,72315
P011163,2022-05-31,17291
P048768,2022-03-30,65219
P019832,2023-01-27,111112
P025889,2022-12-03,65701
P007281,2023-01-10,41675
P025862,2022-07-04,112864
P049185,2023-01-23,58724
P001507,2023-01-03,45861
P026425,2022-10-16,8322
P014173,2022-11-23,84447
P006157,2022-10-23,113591
P006175,2022-10-07,76914
P035958,2022-08-27,93120
P037126,2023-03-01,99998
P034528,2023-01-05,10489
P023250,2023-02-26,77423
P034305,2022-02-11,6850
P029278,2022-04-28,110055
P043217,2023-01-30,76141
P001516,2022-09-04,72450
P048132,2022-03-05,33604
P007689,2023-01-24,47582
P012767,2022-12-22,115021
P032640,2022-03-18,30368
P031849,2022-06-18,34026
