prestamo_id,cliente_id,fecha_otorgado,monto,tasa,plazo_meses,estado
P000248,9501,2022-01-11 07:00:00,367476,62,18,judicial
P000249,28075,2022-01-11 08:00:00,168602,53,9,vigente
P000250,28573,2022-01-11 09:00:00,449000,59,18,judicial
P000251,33882,2022-01-11 10:00:00,192258,62,36,judicial
P000252,47106,2022-01-11 11:00:00,369129,59,6,judicial
P000253,37809,2022-01-11 12:00:00,447212,59,36,atrasado
P000254,8468,2022-01-11 13:00:00,395435,53,6,judicial
P000255,19944,2022-01-11 14:00:00,399031,47,12,atrasado
P000256,22429,2022-01-11 15:00:00,219087,59,24,vigente
P000257,37644,2022-01-11 16:00:00,64952,47,18,atrasado
P000258,27471,2022-01-11 17:00:00,179041,59,6,incobrable
P000259,11446,2022-01-11 18:00:00,36953,62,9,vigente
P000260,39502,2022-01-11 19:00:00,141188,59,12,judicial
P000261,8221,2022-01-11 20:00:00,60197,47,36,vigente
P000262,37558,2022-01-11 21:00:00,479185,47,18,incobrable
P000263,25824,2022-01-11 22:00:00,328189,59,36,incobrable
P000264,6418,2022-01-11 23:00:00,73274,62,24,atrasado
P000265,35149,2022-01-12 00:00:00,64526,53,36,vigente
P000266,21384,2022-01-12 01:00:00,276690,47,9,atrasado
P000267,9375,2022-01-12 02:00:00,272406,59,12,incobrable
P000268,22685,2022-01-12 03:00:00,167951,62,18,incobrable
P000269,14461,2022-01-12 04:00:00,408927,53,36,incobrable
P000270,20432,2022-01-12 05:00:00,338680,62,36,judicial
P000271,3421,2022-01-12 06:00:00,56656,59,6,atrasado
P000272,4765,2022-01-12 07:00:00,42358,59,9,incobrable
P000273,23712,2022-01-12 08:00:00,243577,62,6,atrasado
P000274,17584,2022-01-12 09:00:00,345580,47,9,vigente
P000275,32887,2022-01-12 10:00:00,377000,62,36,judicial
P000276,29562,2022-01-12 11:00:00,493466,47,9,atrasado
P000277,40043,2022-01-12 12:00:00,479887,53,24,atrasado
P000278,30544,2022-01-12 13:00:00,119470,59,18,incobrable
P000279,33277,2022-01-12 14:00:00,291195,59,6,atrasado
P000280,25777,2022-01-12 15:00:00,448300,62,18,incobrable
P000281,46753,2022-01-12 16:00:00,419409,59,24,incobrable
P000282,33510,2022-01-12 17:00:00,105476,47,6,vigente
P000283,21131,2022-01-12 18:00:00,52745,59,9,vigente
P000284,29354,2022-01-12 19:00:00,452842,53,18,judicial
P000285,5275,2022-01-12 20:00:00,222984,62,24,vigente
P000286,31516,2022-01-12 21:00:00,323953,59,24,judicial
P000287,39128,2022-01-12 22:00:00,306975,53,24,judicial
P000288,21191,2022-01-12 23:00:00,397417,59,6,atrasado
P000289,19738,2022-01-13 00:00:00,449474,59,36,incobrable
P000290,42052,2022-01-13 01:00:00,459423,53,36,atrasado
P000291,36582,2022-01-13 02:00:00,422714,53,6,judicial
P000292,25763,2022-01-13 03:00:00,238664,53,12,judicial
P000293,36744,2022-01-13 04:00:00,55233,53,12,vigente
P000294,13690,2022-01-13 05:00:00,194841,53,36,atrasado
P000295,13353,2022-01-13 06:00:00,486740,59,12,incobrable
P000296,19773,2022-01-13 07:00:00,162838,59,36,atrasado
P000297,10809,2022-01-13 08:00:00,345459,53,18,vigente
P000298,4618,2022-01-13 09:00:00,99526,59,24,atrasado
P000299,10987,2022-01-13 10:00:00,377761,47,36,judicial
P000300,35171,2022-01-13 11:00:00,67306,47,6,judicial
P000301,23482,2022-01-13 12:00:00,351900,62,12,incobrable
P000302,48091,2022-01-13 13:00:00,156632,53,9,atrasado
P000303,964,2022-01-13 14:00:00,440914,53,6,vigente
P000304,13430,2022-01-13 15:00:00,298787,47,6,atrasado
P000305,13437,2022-01-13 16:00:00,397373,59,9,judicial
P000306,21324,2022-01-13 17:00:00,254901,62,24,atrasado
P000307,5732,2022-01-13 18:00:00,104019,53,24,judicial
P000308,4687,2022-01-13 19:00:00,85440,53,36,atrasado
P000309,23017,2022-01-13 20:00:00,261549,47,6,vigente
P000310,42841,2022-01-13 21:00:00,465806,59,24,vigente
P000311,2746,2022-01-13 22:00:00,351805,62,12,atrasado
P000312,47833,2022-01-13 23:00:00,419392,53,6,incobrable
P000313,26215,2022-01-14 00:00:00,423081,53,9,vigente
P000314,33973,2022-01-14 01:00:00,484696,62,9,atrasado
P000315,46274,2022-01-14 02:00:00,458349,62,18,judicial
P000316,44587,2022-01-14 03:00:00,155140,47,24,atrasado
P000317,44235,2022-01-14 04:00:00,479239,59,6,atrasado
P000318,43500,2022-01-14 05:00:00,157120,53,9,incobrable
P000319,3959,2022-01-14 06:00:00,127073,47,12,judicial
P000320,22746,2022-01-14 07:00:00,159352,47,6,judicial
P000321,9991,2022-01-14 08:00:00,383000,62,36,vigente
P000322,35730,2022-01-14 09:00:00,219287,53,9,atrasado
P000323,22846,2022-01-14 10:00:00,49019,47,18,incobrable
P000324,44831,2022-01-14 11:00:00,380423,62,6,judicial
P000325,14348,2022-01-14 12:00:00,405949,47,24,judicial
P000326,49991,2022-01-14 13:00:00,70224,47,6,incobrable
P000327,11591,2022-01-14 14:00:00,141498,47,6,incobrable
P000328,29650,2022-01-14 15:00:00,406399,47,6,vigente
P000329,43317,2022-01-14 16:00:00,35406,59,36,vigente
P000330,37976,2022-01-14 17:00:00,267709,62,24,vigente
P000331,7721,2022-01-14 18:00:00,223130,62,18,vigente
P000332,47051,2022-01-14 19:00:00,482868,62,18,atrasado
P000333,13738,2022-01-14 20:00:00,278453,53,9,incobrable
P000334,16690,2022-01-14 21:00:00,272880,59,12,incobrable
P000335,3069,2022-01-14 22:00:00,271791,62,18,judicial
P000336,40029,2022-01-14 23:00:00,98368,47,36,judicial
P000337,34733,2022-01-15 00:00:00,128410,53,18,incobrable
P000338,49065,2022-01-15 01:00:00,358814,53,36,incobrable
P000339,33197,2022-01-15 02:00:00,442635,47,36,atrasado
P000340,26144,2022-01-15 03:00:00,445269,53,6,judicial
P000341,2854,2022-01-15 04:00:00,90144,47,12,incobrable
P000342,8732,2022-01-15 05:00:00,59903,47,18,vigente
P000343,3675,2022-01-15 06:00:00,257202,53,24,atrasado
P000344,6058,2022-01-15 07:00:00,236596,53,18,atrasado
P000345,26536,2022-01-15 08:00:00,270157,47,9,atrasado
P000346,40581,2022-01-15 09:00:00,70198,53,6,judicial
P000347,9472,2022-01-15 10:00:00,484216,47,18,incobrable
P000348,41897,2022-01-15 11:00:00,43866,59,36,incobrable
P000349,11293,2022-01-15 12:00:00,417399,59,24,vigente
P000350,27376,2022-01-15 13:00:00,232673,53,24,atrasado
P000351,13967,2022-01-15 14:00:00,189812,53,12,judicial
P000352,30123,2022-01-15 15:00:00,232242,53,6,vigente
P000353,13122,2022-01-15 16:00:00,159390,47,9,vigente
P000354,29614,2022-01-15 17:00:00,422252,59,9,judicial
P000355,36135,2022-01-15 18:00:00,247094,62,6,atrasado
P000356,24502,2022-01-15 19:00:00,453247,53,18,judicial
P000357,13186,2022-01-15 20:00:00,250093,47,24,atrasado
P000358,27399,2022-01-15 21:00:00,320304,59,36,incobrable
P000359,14214,2022-01-15 22:00:00,452086,59,6,vigente
P000360,39522,2022-01-15 23:00:00,427433,47,18,judicial
P000361,18568,2022-01-16 00:00:00,487011,62,24,judicial
P000362,24915,2022-01-16 01:00:00,45039,59,6,judicial
P000363,33022,2022-01-16 02:00:00,202812,62,24,incobrable
P000364,23646,2022-01-16 03:00:00,85339,62,36,atrasado
P000365,22834,2022-01-16 04:00:00,329897,53,24,vigente
P000366,32918,2022-01-16 05:00:00,54860,47,24,vigente
P000367,30699,2022-01-16 06:00:00,454972,47,18,judicial
P000368,28344,2022-01-16 07:00:00,75632,59,36,incobrable
P000369,39557,2022-01-16 08:00:00,330818,47,12,incobrable
P000370,36512,2022-01-16 09:00:00,126109,62,24,vigente
P000371,38594,2022-01-16 10:00:00,83769,47,36,incobrable
P000372,41035,2022-01-16 11:00:00,287944,53,18,vigente
P000373,9657,2022-01-16 12:00:00,30665,53,24,incobrable
P000374,4610,2022-01-16 13:00:00,390622,62,36,judicial
P000375,37000,2022-01-16 14:00:00,293162,47,9,vigente
P000376,46050,2022-01-16 15:00:00,154888,59,6,atrasado
P000377,46015,2022-01-16 16:00:00,154206,62,6,atrasado
P000378,913,2022-01-16 17:00:00,219182,62,12,atrasado
P000379,18319,2022-01-16 18:00:00,364048,47,9,judicial
P000380,7005,2022-01-16 19:00:00,422994,62,6,vigente
P000381,48707,2022-01-16 20:00:00,133698,53,12,judicial
P000382,7506,2022-01-16 21:00:00,97331,47,24,atrasado
P000383,813,2022-01-16 22:00:00,428655,59,24,vigente
P000384,11616,2022-01-16 23:00:00,178405,62,18,judicial
P000385,39356,2022-01-17 00:00:00,402545,47,36,vigente
P000386,41508,2022-01-17 01:00:00,432888,53,9,vigente
P000387,9945,2022-01-17 02:00:00,53905,53,24,incobrable
P000388,35588,2022-01-17 03:00:00,190397,62,18,judicial
P000389,40887,2022-01-17 04:00:00,313740,62,6,judicial
P000390,41242,2022-01-17 05:00:00,491720,62,9,vigente
P000391,12398,2022-01-17 06:00:00,382794,62,18,vigente
P000392,15346,2022-01-17 07:00:00,417622,62,36,atrasado
P000393,39911,2022-01-17 08:00:00,207018,62,12,judicial
P000394,35140,2022-01-17 09:00:00,42609,53,36,incobrable
P000395,38933,2022-01-17 10:00:00,477961,59,18,judicial
P000396,34181,2022-01-17 11:00:00,91678,53,24,incobrable
P000397,15366,2022-01-17 12:00:00,270367,53,36,judicial
P000398,34912,2022-01-17 13:00:00,36139,62,12,vigente
P000399,21328,2022-01-17 14:00:00,242573,59,36,vigente
P000400,24847,2022-01-17 15:00:00,400492,62,36,vigente
P000401,25416,2022-01-17 16:00:00,439214,59,18,vigente
P000402,39947,2022-01-17 17:00:00,332746,53,6,judicial
P000403,35269,2022-01-17 18:00:00,369341,59,24,atrasado
P000404,11780,2022-01-17 19:00:00,392058,53,9,atrasado
P000405,30590,2022-01-17 20:00:00,259516,59,24,incobrable
P000406,40498,2022-01-17 21:00:00,411103,62,18,incobrable
P000407,6364,2022-01-17 22:00:00,202393,59,18,judicial
P000408,34975,2022-01-17 23:00:00,272857,62,36,vigente
P000409,4011,2022-01-18 00:00:00,285132,59,24,incobrable
P000410,26855,2022-01-18 01:00:00,311126,59,12,vigente
P000411,3713,2022-01-18 02:00:00,226313,59,9,incobrable
P000412,7034,2022-01-18 03:00:00,478702,59,12,judicial
P000413,31663,2022-01-18 04:00:00,191683,59,18,atrasado
P000414,6199,2022-01-18 05:00:00,105500,59,18,vigente
P000415,10296,2022-01-18 06:00:00,49843,59,9,incobrable
P000416,35941,2022-01-18 07:00:00,293442,59,36,atrasado
P000417,11988,2022-01-18 08:00:00,448700,47,12,judicial
P000418,14728,2022-01-18 09:00:00,374791,47,24,judicial
P000419,21091,2022-01-18 10:00:00,359545,62,9,judicial
P000420,42606,2022-01-18 11:00:00,101499,47,24,judicial
P000421,14825,2022-01-18 12:00:00,94741,53,9,judicial
P000422,45042,2022-01-18 13:00:00,239788,59,12,atrasado
P000423,29152,2022-01-18 14:00:00,190754,59,9,judicial
P000424,10122,2022-01-18 15:00:00,206703,62,12,incobrable
P000425,20095,2022-01-18 16:00:00,223466,59,9,incobrable
P000426,11117,2022-01-18 17:00:00,250775,59,12,atrasado
P000427,6195,2022-01-18 18:00:00,128193,59,6,incobrable
P000428,10164,2022-01-18 19:00:00,315132,53,36,vigente
P000429,338,2022-01-18 20:00:00,431881,59,36,judicial
P000430,6623,2022-01-18 21:00:00,258721,59,36,vigente
P000431,24649,2022-01-18 22:00:00,53711,62,24,atrasado
P000432,41647,2022-01-18 23:00:00,263023,59,12,atrasado
P000433,34071,2022-01-19 00:00:00,256695,53,6,judicial
P000434,13644,2022-01-19 01:00:00,374886,59,24,vigente
P000435,33982,2022-01-19 02:00:00,389335,47,36,incobrable
P000436,26984,2022-01-19 03:00:00,285305,53,12,atrasado
P000437,37599,2022-01-19 04:00:00,236543,47,12,judicial
P000438,39582,2022-01-19 05:00:00,480680,62,9,vigente
P000439,25084,2022-01-19 06:00:00,457169,47,6,incobrable
P000440,35505,2022-01-19 07:00:00,311577,59,6,vigente
P000441,39542,2022-01-19 08:00:00,495950,53,18,incobrable
P000442,30524,2022-01-19 09:00:00,426776,47,18,atrasado
