cliente_id,edad,genero,antiguedad_meses,score_crediticio,ingresos
111,25,F,2,443,731022
112,62,M,74,631,311767
113,59,F,106,458,543874
114,61,F,71,499,130548
115,48,F,12,568,401876
116,27,F,55,450,404727
117,29,F,80,560,631528
118,28,M,31,558,149679
119,32,M,91,752,668650
120,54,M,32,597,771659
121,53,F,106,580,217906
122,68,F,64,891,829419
123,43,F,104,374,628435
124,44,F,91,899,538722
125,57,M,59,425,860514
126,55,F,25,737,655131
127,64,M,104,722,821232
128,60,F,69,615,546116
129,42,F,68,680,823535
130,47,F,117,345,683118
131,55,F,44,744,201846
132,21,F,43,729,276872
133,55,M,15,637,167173
134,57,F,13,764,144134
135,67,M,97,876,778798
136,34,M,69,386,439744
137,23,F,70,652,608413
138,21,F,45,567,168224
139,25,F,25,892,748643
140,46,F,25,521,306996
141,34,F,10,658,182782
142,59,F,62,534,672196
143,47,M,12,376,560410
144,29,M,67,743,292337
145,35,F,29,704,142967
146,35,F,93,424,325676
147,46,M,43,810,823487
148,62,M,88,509,805523
149,33,M,88,797,503201
150,52,F,89,808,594019
151,59,M,111,469,823572
152,69,F,113,601,813262
153,52,F,37,706,703377
154,24,M,69,736,477236
155,50,M,119,876,303344
156,57,M,11,722,166421
157,43,F,40,491,600934
158,59,F,107,702,608561
159,65,M,119,303,495877
160,35,F,63,306,240940
161,63,M,22,712,301263
162,49,F,116,786,415221
163,56,M,15,552,142363
164,33,F,9,600,269661
165,52,M,114,756,737401
166,27,F,70,560,837678
167,42,F,64,874,245897
168,48,F,90,629,153858
169,22,M,6,470,804328
170,62,F,96,899,151598
171,65,F,43,444,868817
172,26,M,20,538,302334
173,48,M,99,845,809564
174,48,F,43,548,869767
175,64,F,62,727,734587
176,64,M,67,786,388148
177,40,F,82,707,158343
178,50,F,99,429,411970
179,31,M,52,410,563913
180,48,M,74,599,313223
181,45,M,100,869,493560
182,59,F,94,303,237830
183,53,F,26,418,671414
184,21,M,94,658,328274
185,47,M,31,379,588877
186,33,F,55,321,381553
187,61,M,68,508,124384
188,23,F,57,798,262203
189,59,M,24,485,282907
190,26,M,65,586,529579
191,28,F,26,541,700569
192,47,F,49,624,736393
193,29,M,93,481,858335
194,57,F,38,553,776368
195,53,F,36,518,255327
196,62,M,54,729,210876
197,64,F,9,697,292509
198,44,F,42,431,862177
199,35,F,96,789,160992
200,52,F,101,495,667861
201,52,M,104,878,511131
202,44,M,82,562,860381
203,61,M,24,594,827952
204,69,M,40,591,324078
205,69,M,82,350,855495
206,32,F,103,591,737755
207,59,F,8,410,371476
208,22,F,103,799,858424
209,23,M,54,587,322715
210,69,M,115,505,268406
211,57,M,11,719,850432
212,69,F,107,657,342961
213,37,F,99,427,511812
214,69,F,88,602,311286
215,22,M,116,615,766667
216,22,M,77,811,542537
217,48,F,95,689,163217
218,43,F,56,415,617870
219,57,F,94,489,400876
220,52,M,29,662,558774
221,53,M,42,804,512129
222,21,F,6,476,830006
223,39,F,3,311,340535
224,22,M,92,883,523699
225,64,F,74,670,727862
226,46,F,98,497,556040
227,52,M,65,408,288271
228,26,F,12,386,149645
229,52,F,36,388,253607
230,24,F,56,600,757691
231,31,M,52,681,428517
232,37,F,32,783,857952
233,58,F,56,855,603181
234,44,M,11,413,801532
235,25,F,1,590,165784
236,54,F,112,548,141206
237,26,M,6,427,482030
238,42,F,91,884,193568
239,31,F,79,445,310164
240,68,F,74,480,422602
241,36,M,24,401,878100
242,53,F,72,706,318642
243,29,M,81,605,867986
244,26,M,24,594,868762
245,36,M,77,331,726603
246,49,M,9,539,610177
247,23,M,59,414,140165
248,40,M,70,387,703526
249,56,M,93,824,249944
250,39,F,23,652,823603
251,46,F,86,311,768742
252,23,M,85,716,682510
253,39,F,17,441,413628
254,40,F,98,312,293024
255,52,F,90,360,553427
256,27,M,114,618,244075
257,61,F,25,646,691769
258,53,M,112,531,502895
259,60,M,38,484,798405
260,59,F,3,666,801502
261,38,M,67,571,361955
262,60,M,14,338,404251
263,21,M,106,893,383457
264,31,F,10,778,669233
265,48,F,66,517,882583
266,45,F,71,322,889029
267,43,M,14,677,433303
268,51,F,113,675,640432
269,50,F,81,411,338683
270,62,F,10,612,401886
271,55,M,99,465,750045
272,27,M,49,816,355538
273,36,F,109,507,681564
274,46,M,91,347,518482
275,68,F,62,852,151225
276,69,F,48,478,160823
277,22,M,3,336,286063
278,21,M,47,448,494324
279,68,M,60,691,344714
280,32,M,25,505,547299
281,25,M,7,436,643794
282,57,M,77,695,151858
283,52,F,39,836,810563
284,29,F,43,473,824142
285,61,M,46,525,501695
286,55,M,89,837,524158
287,39,F,43,553,203668
288,68,F,29,417,839808
289,36,M,83,452,781629
290,23,M,103,723,456123
291,40,F,86,459,840604
292,44,F,66,361,834137
293,53,F,86,328,538813
294,44,F,99,397,256287
295,31,F,98,318,145664
296,69,M,117,477,576784
297,28,F,69,625,385475
298,56,M,27,641,805155
299,58,F,82,589,215779
300,60,M,112,468,736785
301,40,F,3,592,287910
302,55,M,56,367,371139
303,68,F,111,631,854924
304,45,M,64,350,318636
305,55,F,21,358,408377
306,45,M,24,471,487346
307,49,M,90,777,300146
308,38,M,20,392,665722
309,66,M,52,479,713044
310,38,F,13,828,715133
311,22,F,70,846,374361
312,55,M,90,312,382181
313,36,F,112,345,309853
314,61,M,43,303,306521
315,56,F,94,492,789153
316,53,F,78,785,814355
317,24,M,111,342,180392
318,53,F,117,388,170015
319,34,M,37,749,572249
320,41,F,102,606,224298
321,68,F,30,641,389015
322,40,F,15,637,415932
323,28,M,83,483,300290
324,27,F,75,353,220183
325,23,M,84,443,391336
326,37,M,25,523,226773
327,53,F,38,622,817464
328,68,M,43,792,844885
329,32,F,30,743,524343
330,42,M,40,793,557431
331,42,F,59,599,836602
332,66,M,23,847,356808
333,50,M,44,308,292886
334,58,M,81,434,351254
335,58,M,1,842,291667
336,65,F,106,609,489946
337,28,F,78,495,809690
338,47,M,103,625,789756
339,47,M,82,628,629724
340,54,M,41,862,342659
341,41,M,62,681,235635
342,50,F,60,325,778702
343,53,F,80,770,513350
344,48,F,10,350,568712
345,67,M,108,489,317631
346,53,F,73,688,454666
347,25,F,78,437,617985
348,68,M,66,730,543319
349,39,F,57,339,796161
350,24,M,42,702,771624
351,55,M,54,464,634937
352,69,M,85,503,664760
353,37,M,42,787,332811
354,64,M,66,640,673470
355,48,M,70,482,212659
356,50,M,11,639,868408
357,49,F,105,421,152719
358,66,F,67,477,418950
359,26,M,115,599,215658
360,55,F,11,624,526066
361,61,F,4,844,744467
362,57,F,79,329,885305
363,44,M,90,787,577306
364,49,F,108,806,402192
365,69,M,100,421,286609
366,66,M,79,693,423568
367,51,M,49,467,444299
368,55,M,114,568,440414
369,53,M,22,354,519407
370,41,M,37,787,173503
371,52,M,10,734,897390
372,43,F,20,386,274562
373,53,F,96,353,790853
374,23,M,73,322,787079
375,38,F,50,724,655658
376,45,F,31,554,835919
377,62,M,44,431,161551
378,51,F,104,311,611932
379,23,M,31,710,501651
380,60,F,92,313,270799
381,66,M,75,315,279113
382,44,M,100,392,290390
383,52,F,41,695,336992
384,67,M,4,736,280499
385,42,F,114,570,365085
386,43,M,14,300,794696
387,22,M,46,651,638896
388,47,F,54,375,264387
389,62,F,93,433,732708
390,22,F,92,522,609939
391,46,M,89,421,873406
392,37,F,87,820,787110
393,60,M,33,607,892358
394,53,F,30,772,724454
395,29,F,9,378,184701
396,63,F,38,427,844970
397,68,F,89,709,730310
398,59,F,82,822,542986
399,49,M,43,362,764601
400,62,M,7,710,362602
401,46,F,88,338,325911
402,55,F,40,438,607804
403,45,F,85,714,495533
404,44,M,119,886,676850
405,33,M,62,382,730033
406,27,F,55,779,681879
407,56,M,35,517,664821
408,65,M,43,470,166375
409,40,F,11,845,698062
410,21,M,2,858,489148
411,28,M,79,571,671926
412,66,M,79,462,771097
413,36,M,5,527,135008
414,34,F,116,642,514297
415,32,M,40,424,373217
416,43,M,80,603,463114
417,35,M,108,559,533879
418,48,F,46,359,538746
419,54,F,21,766,607830
420,22,F,109,789,698870
421,52,F,9,332,146099
422,43,F,71,731,763096
423,42,F,27,865,599221
424,45,F,17,720,795659
425,42,M,66,435,536214
426,42,M,104,458,372000
427,69,M,26,334,312809
428,62,M,109,738,371640
429,26,F,72,452,253759
430,35,M,114,666,421960
431,63,M,45,665,344424
432,57,F,55,814,533197
433,53,M,40,320,211738
434,28,F,16,869,655688
435,64,F,84,591,770859
436,64,M,96,345,565146
437,25,M,32,532,865838
438,59,F,35,693,655910
439,24,M,64,394,513025
440,26,F,64,794,463463
441,65,M,15,869,422999
442,52,M,42,731,411939
443,50,M,50,830,372282
444,67,F,32,531,861869
445,55,F,30,699,765193
446,60,M,83,523,242163
447,36,M,24,369,332068
448,33,F,66,734,224117
449,62,F,21,629,547541
450,50,F,42,742,331922
451,39,F,80,521,762564
452,37,M,104,307,848895
453,39,F,103,392,458143
454,48,F,100,814,699384
455,46,F,58,734,525097
456,57,F,105,759,860028
457,46,M,2,744,613327
458,43,M,16,348,341819
459,29,M,93,442,283010
460,32,F,7,678,692896
461,21,F,55,883,192359
462,21,M,15,403,860554
463,67,M,23,422,200935
464,54,F,119,330,307208
465,52,F,69,465,299447
466,68,M,1,731,489500
467,45,F,116,696,757468
468,60,M,69,806,122278
469,65,F,13,427,721192
470,21,M,26,538,280676
471,36,F,52,853,306403
472,59,F,13,468,761103
473,25,F,96,549,285988
474,42,M,55,698,312801
475,49,F,29,709,413028
476,23,F,18,756,145712
477,32,F,2,398,793948
478,46,M,27,728,821782
479,36,F,50,591,443764
480,57,M,42,331,526635
481,42,F,67,494,197545
482,49,M,117,432,567661
483,34,M,94,615,501654
484,48,F,10,381,845161
485,25,M,9,675,406192
486,67,F,3,606,769763
487,69,F,86,762,302604
488,50,F,38,516,695474
489,66,F,75,754,683866
490,25,M,70,577,308165
491,32,M,69,515,129152
492,36,M,30,334,812672
493,46,M,14,833,537538
494,46,M,2,685,497543
495,68,F,97,549,332017
496,41,F,101,709,831992
497,59,M,8,690,381098
498,56,M,74,510,257450
499,53,F,85,638,814559
500,50,M,83,538,811891
501,57,M,99,764,247597
502,43,M,18,629,725754
503,30,M,71,591,349082
504,25,F,13,542,336242
505,56,F,46,605,736948
506,54,M,114,552,517810
507,51,F,54,733,386575
508,30,M,12,335,761789
509,39,F,40,880,376807
510,52,M,88,558,775840
511,21,F,82,492,296508
512,25,F,38,892,616492
513,65,F,12,796,414479
514,24,M,67,609,284387
515,36,F,25,479,299910
516,44,F,35,321,818204
517,36,M,16,332,359157
518,22,M,113,704,159146
519,69,M,112,428,540891
520,48,M,45,431,347686
521,52,M,13,433,347407
522,47,F,24,839,538555
523,40,M,76,759,193601
524,44,M,2,770,814459
525,32,F,90,534,616313
526,55,M,110,311,582307
527,53,M,10,405,546372
528,53,F,19,475,656588
529,63,F,119,485,214533
530,57,M,86,588,243834
531,32,M,24,448,795314
532,23,F,90,404,518330
533,21,M,61,548,750151
534,53,F,5,613,314376
535,60,F,80,349,878273
536,30,F,101,651,627746
537,63,M,34,300,306627
538,64,M,102,843,186338
539,49,M,92,494,696614
540,33,F,64,396,168087
541,32,M,12,684,523057
542,51,M,109,835,489554
543,66,F,109,446,522182
544,22,M,59,395,672765
545,55,M,21,727,188886
546,43,F,96,689,899717
547,37,F,89,508,576388
548,46,F,78,311,842074
549,28,M,115,402,554033
550,49,M,47,491,226261
551,46,M,53,365,368204
552,30,F,99,703,289546
553,46,M,73,730,515295
554,54,M,94,850,316217
555,61,M,106,610,456558
556,27,F,93,356,236285
557,24,M,39,606,883301
558,65,F,31,875,203078
559,31,M,78,651,357502
560,49,F,81,389,479562
561,56,F,89,503,206299
562,45,M,46,500,316380
563,41,M,57,773,135911
564,56,F,106,560,846298
565,30,F,37,500,197087
566,57,M,27,793,863112
567,29,F,82,653,552103
568,44,F,29,837,581971
569,55,F,113,612,826859
570,69,M,18,554,663460
571,55,F,4,745,747423
572,68,M,84,398,331313
573,56,M,1,748,773822
574,38,M,109,367,250232
575,69,F,24,832,554674
576,59,F,42,895,595702
577,52,F,60,395,737985
578,44,M,111,644,494847
579,43,M,24,626,262635
580,52,M,56,728,834568
581,57,M,69,642,892939
582,32,M,90,328,666977
583,69,M,18,420,244818
584,33,M,100,448,647578
585,43,M,65,780,615618
586,45,F,10,893,194215
587,55,F,17,582,312126
588,61,F,58,851,624805
589,50,F,35,714,521023
590,37,M,4,563,367224
591,69,F,44,462,368367
592,40,M,91,630,240819
593,68,F,75,406,270546
594,45,M,67,415,705399
595,42,F,28,898,817152
596,33,F,11,713,827766
597,39,F,3,569,546590
598,69,M,100,754,786445
599,56,F,3,396,874976
600,32,F,25,301,137052
601,61,F,76,473,767882
602,39,F,12,304,378020
603,32,F,49,856,256127
604,29,M,56,856,530093
605,27,M,53,679,432191
606,48,F,96,853,368645
607,34,M,104,685,424744
608,51,F,10,771,589650
609,39,F,112,452,328909
610,67,F,19,705,318192
611,36,F,47,638,741542
612,25,M,54,489,341969
613,55,F,107,489,749690
614,32,F,7,683,533753
615,45,M,88,484,796865
616,41,F,39,588,795301
617,56,F,32,554,798739
618,43,M,23,844,672321
619,36,M,50,611,244465
620,59,F,19,695,589756
621,65,F,112,550,807526
622,62,F,118,359,745489
623,59,M,67,620,808669
624,34,F,25,451,796054
625,51,F,25,368,841336
626,25,F,6,740,235711
627,55,F,97,334,338760
628,43,M,97,472,737474
629,49,M,15,752,809299
630,63,F,63,459,328811
631,31,M,20,838,227030
632,38,F,43,899,694641
633,67,M,106,814,466848
634,32,M,96,618,350628
635,29,M,88,679,208549
636,30,F,67,392,289636
637,64,F,4,385,604100
638,37,M,108,854,889357
639,58,F,6,422,448433
640,27,M,59,311,848613
641,66,F,52,442,823078
642,33,M,19,424,898236
643,60,M,26,593,420781
644,62,F,48,617,857399
645,29,F,89,590,304570
646,47,M,55,539,554103
647,22,F,89,408,538256
648,25,M,59,571,657292
649,49,M,74,523,594495
650,57,F,38,363,821775
651,58,F,84,550,863770
652,39,F,5,891,247127
653,28,F,42,612,287921
654,68,M,108,703,636283
655,65,M,114,530,847240
656,21,M,35,843,438736
657,42,F,69,885,530794
658,37,F,99,699,499135
659,27,M,3,355,592278
660,45,F,41,390,296523
661,65,F,32,598,459698
662,24,F,36,743,516382
663,56,M,30,861,762438
664,26,M,116,358,502902
665,51,F,113,383,744458
666,39,M,39,702,578360
667,64,M,93,407,863755
668,59,M,90,810,568165
669,47,M,109,661,378887
670,30,M,89,591,283920
671,46,F,60,688,788467
672,39,M,56,862,138452
673,59,F,76,326,603454
674,23,F,82,870,457819
675,65,M,118,609,735396
676,33,M,58,751,849950
677,48,M,26,314,442005
678,40,M,79,584,150984
679,48,F,5,500,718836
680,28,F,56,492,545433
681,61,F,33,818,558526
682,59,M,105,461,398572
683,21,F,9,794,647075
684,23,F,32,565,611108
685,33,M,77,369,870007
686,48,M,107,503,494707
687,69,M,28,658,501304
688,45,F,23,377,628607
689,53,M,88,694,624835
690,58,F,105,519,554592
691,26,M,95,352,667972
692,64,F,69,856,472701
693,65,F,110,398,571033
694,52,M,62,322,217711
695,65,F,48,379,499289
696,67,M,66,801,154787
697,41,M,62,871,893332
698,36,M,111,320,363421
699,41,F,94,870,528363
700,31,F,113,467,244472
701,57,F,69,556,189647
702,56,M,56,528,613960
703,55,F,74,315,568205
704,39,F,111,588,530030
705,40,M,116,321,807528
706,38,M,36,494,882665
707,67,M,36,758,473798
708,61,M,56,854,387835
709,69,M,7,362,314600
710,34,M,93,663,132176
711,35,M,32,836,743817
712,51,F,91,593,282724
713,21,M,1,881,367613
714,23,M,58,769,296370
715,36,M,118,693,895543
716,43,M,20,738,372632
717,31,M,34,808,794902
718,32,F,51,794,887275
719,30,M,36,658,583732
720,52,F,26,639,335527
721,36,F,87,659,504237
722,28,M,33,761,351715
723,58,M,1,612,300927
724,32,M,67,681,298161
725,44,F,50,511,182929
726,48,M,35,315,856425
727,28,F,35,367,231590
728,48,F,59,621,292549
729,56,M,77,602,243214
730,46,M,97,499,874711
731,28,F,13,411,346038
732,48,F,22,627,688348
733,48,M,56,662,616233
734,57,M,5,723,510287
735,61,F,81,859,866422
736,56,F,43,626,679176
737,47,M,74,573,480901
738,37,F,55,836,159824
739,29,M,91,878,794615
740,53,M,15,388,506587
741,40,M,109,704,769222
742,33,F,42,394,721824
743,48,F,9,604,734972
744,68,F,71,725,797953
745,49,M,57,891,827485
746,33,M,10,607,375890
747,66,M,64,619,585323
748,55,F,41,414,154800
749,26,M,13,424,340992
750,38,M,16,729,805489
751,25,M,98,342,891682
752,67,F,72,684,359184
753,45,F,60,388,785057
754,22,F,31,359,281889
755,30,F,55,598,169508
756,50,F,92,883,507633
757,65,F,71,562,743287
758,25,F,34,689,713356
759,53,M,97,727,246784
760,21,M,4,301,834255
761,38,M,55,696,834055
762,52,M,102,843,376618
763,67,F,90,840,396158
764,69,F,66,432,843532
765,31,M,96,808,723656
766,41,M,103,651,536422
767,46,F,106,765,462497
768,45,F,59,828,889160
769,42,F,41,698,756353
770,47,M,66,743,319627
771,69,F,90,793,877037
772,33,M,47,588,737284
773,53,F,27,565,351126
774,54,F,79,474,304839
775,61,M,21,662,260189
776,55,F,112,851,515979
777,21,M,91,884,229044
778,41,F,98,321,370737
779,68,F,113,325,823645
780,26,M,11,590,411731
781,48,F,87,844,283438
782,37,F,114,821,661872
783,25,F,22,721,622630
784,51,F,23,495,342424
785,25,F,65,434,530317
786,58,F,59,715,523946
787,23,F,76,740,219551
788,43,F,89,896,379941
789,57,F,70,609,305740
790,57,M,114,638,516363
791,30,F,113,414,775912
792,30,F,113,672,225896
793,39,F,98,818,374719
794,37,M,28,633,667331
795,41,M,25,336,516076
796,34,M,82,605,121841
797,29,M,111,680,187087
798,66,M,1,688,532152
799,21,M,32,353,753399
800,65,F,29,859,899262
801,33,M,20,564,888173
802,24,F,46,534,279441
803,21,F,77,329,679515
804,69,F,57,633,600900
805,60,M,12,487,464135
806,52,F,72,558,665527
807,54,F,39,451,307557
808,48,M,8,508,827178
809,51,M,82,381,648508
810,28,F,85,798,182897
811,59,M,28,660,302122
812,46,M,31,569,460048
813,54,F,15,768,668287
814,23,F,60,566,416552
815,32,F,39,582,270752
816,21,F,97,303,212057
817,64,F,102,589,872910
818,25,F,87,723,412414
819,50,F,80,370,202825
820,50,F,88,573,796047
821,37,M,21,807,483816
822,68,M,110,830,594870
823,67,M,8,442,484670
824,43,M,42,886,350512
825,35,M,59,439,899144
826,57,F,81,847,285661
827,41,M,79,541,777870
828,34,M,78,695,150549
829,22,F,20,443,630018
830,31,M,96,519,367377
831,59,F,61,471,522872
832,58,M,11,599,555103
833,54,M,102,742,404919
834,58,F,32,713,329988
835,54,M,4,315,618735
836,38,M,29,895,443648
837,50,M,5,308,382199
838,35,F,107,424,809839
839,47,F,76,345,431067
840,54,F,107,573,570164
841,58,F,114,727,358725
842,53,F,39,513,380054
843,44,M,23,797,771694
844,35,M,97,741,423040
845,50,F,16,622,405582
846,62,F,50,885,876796
847,37,M,108,383,126093
848,25,F,11,862,616495
849,49,M,72,728,555161
850,24,F,97,731,664723
851,30,F,48,381,612709
852,37,M,34,311,703716
853,30,M,21,506,432297
854,37,F,63,653,571654
855,40,F,102,344,126171
856,44,M,17,746,623006
857,25,M,113,491,603683
858,54,F,34,679,637506
859,26,M,51,700,694241
860,22,F,105,886,677892
861,33,F,67,616,572573
862,63,F,24,712,292103
863,63,F,22,388,700276
864,68,F,10,303,791056
865,31,F,5,853,530382
866,67,F,105,513,645812
867,43,M,31,451,781473
868,36,M,24,318,517662
869,51,F,110,340,167215
870,31,M,11,794,850838
871,36,F,51,660,383843
872,28,F,119,440,373629
873,24,M,48,365,497694
874,60,M,78,363,219091
875,24,F,110,755,489811
876,45,M,4,439,450349
877,23,F,8,840,804422
878,52,M,7,712,403914
879,23,F,99,513,135204
880,47,F,119,585,610607
881,49,F,32,884,157477
882,52,M,86,312,845738
883,39,F,22,429,375465
884,41,F,110,844,368303
885,25,M,107,739,823392
886,38,M,90,885,879187
887,48,F,115,740,238389
888,62,M,36,557,741377
889,42,F,29,424,329509
890,41,F,68,443,554037
891,26,F,95,359,209912
892,21,M,86,526,753204
893,25,M,61,739,213663
894,61,M,53,430,577237
895,32,F,72,479,344004
896,46,F,85,827,267012
897,66,F,15,787,479172
898,54,M,48,758,194670
899,69,M,118,529,381506
900,34,F,54,473,637067
901,46,M,68,586,374906
902,65,M,106,300,437152
903,47,M,69,738,721362
904,29,M,100,841,679847
905,46,F,64,827,406470
906,67,F,66,367,572491
907,42,F,50,387,350538
908,67,M,72,467,682766
909,50,M,47,898,822564
910,63,M,68,316,138325
911,68,F,13,675,715104
912,37,M,14,762,770701
913,46,F,9,698,665683
914,56,F,28,710,151210
915,21,F,38,627,344798
916,28,M,12,544,800008
917,69,F,92,416,414834
918,55,F,13,755,683268
919,35,M,21,559,279825
920,67,F,55,748,369811
921,42,M,38,580,769080
922,34,F,52,782,161179
923,46,M,26,435,521490
924,48,F,89,732,706636
925,43,F,22,700,441105
926,34,F,51,327,556177
927,44,M,116,817,436300
928,22,M,116,366,854346
929,65,M,72,479,354116
930,46,F,37,339,602019
931,34,M,104,895,885951
932,27,M,45,373,888459
933,23,M,86,377,721028
934,67,M,77,314,814752
935,43,F,37,821,540585
936,66,F,14,695,499776
937,63,F,18,592,557225
938,67,F,111,569,310626
939,65,F,97,708,609688
940,38,F,7,736,648318
941,58,M,74,457,421514
942,55,F,60,522,580165
943,35,M,58,798,702119
944,45,F,94,681,320704
945,57,M,55,750,484973
946,48,F,34,304,305782
947,30,F,45,388,524764
948,59,F,3,506,798236
949,37,F,40,340,430661
950,59,M,76,385,770921
951,42,M,100,718,799485
952,46,F,53,582,432389
953,64,F,31,567,573510
954,45,M,23,716,855378
955,37,F,72,451,528769
956,33,F,65,453,648754
957,40,M,55,671,485744
958,45,M,99,653,159341
959,24,M,111,775,256661
960,30,M,79,575,330598
961,23,F,117,477,139363
962,61,F,92,417,869875
963,65,F,12,539,369696
964,38,F,1,585,583998
965,67,M,11,782,256092
966,56,F,51,692,458952
967,67,F,101,702,617494
968,42,M,113,461,234713
969,54,F,66,873,717694
970,67,M,45,899,874843
971,28,M,99,443,478474
972,60,M,109,634,884277
973,69,M,72,330,130910
974,64,M,31,479,501425
975,39,F,85,698,610616
976,62,F,53,749,468876
977,61,F,45,769,151018
978,57,M,67,553,368522
979,26,M,89,695,437925
980,46,F,41,415,894959
981,54,M,28,589,821856
982,65,M,62,537,423858
983,26,M,92,575,346548
984,57,F,2,377,209570
985,53,M,72,637,891473
986,42,M,65,334,832350
987,41,M,21,362,183134
988,26,F,15,472,835759
989,26,M,55,330,788042
990,68,F,8,840,442149
991,24,M,104,580,759686
992,50,M,86,523,806877
993,31,F,103,522,596178
994,50,F,20,561,436240
995,51,F,77,848,482521
996,44,M,64,444,443091
997,29,F,90,586,307522
998,23,F,39,357,759722
999,51,F,7,704,650888
1000,60,M,57,429,324577
1001,57,F,75,562,497829
1002,56,M,31,646,154357
1003,44,M,34,449,531130
1004,51,M,75,303,247031
1005,26,F,88,798,782462
1006,22,F,89,600,267842
1007,40,F,51,896,357785
1008,48,F,56,398,577857
1009,31,M,97,391,696243
1010,24,F,29,801,862869
1011,35,F,63,669,449221
1012,26,M,85,612,338600
1013,69,F,113,795,677983
1014,50,M,33,636,821605
1015,58,M,45,475,608273
1016,22,F,6,515,225714
1017,35,M,37,357,840741
1018,31,M,53,684,365171
1019,28,M,2,656,428002
1020,46,F,106,493,304294
1021,65,F,94,859,750886
1022,64,F,57,480,245877
1023,25,M,92,561,244467
1024,26,F,96,361,328979
1025,46,F,117,335,625487
1026,24,M,51,865,824525
1027,39,F,91,755,725670
1028,40,F,39,838,442937
1029,53,M,22,377,322503
1030,40,F,79,409,353002
1031,69,M,43,766,898875
1032,32,F,38,518,692137
1033,67,F,64,766,251029
1034,21,F,37,774,802098
1035,46,M,100,612,160738
1036,34,F,38,440,672901
1037,58,F,71,549,133888
1038,57,M,31,413,180785
1039,31,F,44,456,838670
1040,56,M,94,605,354375
1041,33,F,14,861,142635
1042,63,F,98,355,893942
1043,23,F,52,444,185953
1044,53,F,91,328,494071
1045,26,F,87,355,824075
1046,30,F,67,531,548057
1047,25,M,5,351,889327
1048,43,F,42,813,271697
1049,30,M,94,588,451058
1050,64,F,7,486,540088
1051,22,M,105,866,223398
1052,33,M,118,846,881962
1053,60,M,18,759,286885
1054,22,F,57,458,752679
1055,40,F,102,325,627254
1056,21,M,74,604,656072
1057,57,M,44,615,716774
1058,29,M,98,540,363295
1059,37,M,61,421,309513
1060,29,M,97,686,430691
1061,31,M,63,301,353586
1062,35,F,32,530,570161
1063,44,F,95,874,894514
1064,58,M,28,664,370413
1065,55,F,4,504,702407
1066,50,M,15,746,621080
